Nome_arquivo	Temperatura_inicial	SAMAX	Qtd_Reaquecimentos	Metodo_Vizinho	Função_Objetivo	Iteração
1	100	10	7	1	68	1
1	100	10	7	1	68	2
1	100	10	7	1	66	3
1	100	10	7	1	67	4
1	100	10	7	1	68	5
1	100	10	7	1	68	6
1	100	10	7	1	69	7
1	100	10	7	1	67	8
1	100	10	7	1	67	9
1	100	10	7	1	69	10
1	100	10	7	1	63	11
1	100	10	7	1	67	12
1	100	10	7	1	68	13
1	100	10	7	1	67	14
1	100	10	7	1	66	15
1	100	10	7	1	66	16
1	100	10	7	1	66	17
1	100	10	7	1	67	18
1	100	10	7	1	66	19
1	100	10	7	1	68	20
1	100	10	7	1	66	21
1	100	10	7	1	67	22
1	100	10	7	1	67	23
1	100	10	7	1	65	24
1	100	10	7	1	67	25
1	100	10	7	1	68	26
1	100	10	7	1	66	27
1	100	10	7	1	68	28
1	100	10	7	1	68	29
1	100	10	7	1	67	30
1	100	10	7	1	68	31
1	100	10	7	1	67	32
1	100	10	7	1	67	33
1	100	10	7	1	68	34
1	100	10	7	1	67	35
1	100	10	7	1	67	36
1	100	10	7	1	68	37
1	100	10	7	1	66	38
1	100	10	7	1	68	39
1	100	10	7	1	66	40
1	100	10	7	1	65	41
1	100	10	7	1	68	42
1	100	10	7	1	69	43
1	100	10	7	1	67	44
1	100	10	7	1	67	45
1	100	10	7	1	68	46
1	100	10	7	1	66	47
1	100	10	7	1	68	48
1	100	10	7	1	67	49
1	100	10	7	1	66	50
1	100	10	7	1	66	51
1	100	10	7	1	68	52
1	100	10	7	1	66	53
1	100	10	7	1	66	54
1	100	10	7	1	68	55
1	100	10	7	1	68	56
1	100	10	7	1	66	57
1	100	10	7	1	68	58
1	100	10	7	1	67	59
1	100	10	7	1	68	60
1	100	10	7	1	67	61
1	100	10	7	1	68	62
1	100	10	7	1	67	63
1	100	10	7	1	68	64
1	100	10	7	1	67	65
1	100	10	7	1	68	66
1	100	10	7	1	67	67
1	100	10	7	1	66	68
1	100	10	7	1	68	69
1	100	10	7	1	68	70
1	100	10	7	1	65	71
1	100	10	7	1	66	72
1	100	10	7	1	66	73
1	100	10	7	1	68	74
1	100	10	7	1	66	75
1	100	10	7	1	67	76
1	100	10	7	1	68	77
1	100	10	7	1	65	78
1	100	10	7	1	67	79
1	100	10	7	1	69	80
1	100	10	7	1	67	81
1	100	10	7	1	67	82
1	100	10	7	1	67	83
1	100	10	7	1	65	84
1	100	10	7	1	68	85
1	100	10	7	1	66	86
1	100	10	7	1	66	87
1	100	10	7	1	65	88
1	100	10	7	1	64	89
1	100	10	7	1	68	90
1	100	10	7	1	67	91
