Nome_arquivo	Temperatura_inicial	SAMAX	Qtd_Reaquecimentos	Metodo_Vizinho	Função_Objetivo	Iteração
1	100	10	7	1	63	1
1	100	10	7	1	64	2
1	100	10	7	1	63	3
1	100	10	7	1	64	4
1	100	10	7	1	64	5
1	100	10	7	1	64	6
1	100	10	7	1	64	7
1	100	10	7	1	63	8
1	100	10	7	1	64	9
1	100	10	7	1	64	10
1	100	10	7	1	64	11
1	100	10	7	1	63	12
1	100	10	7	1	65	13
1	100	10	7	1	61	14
1	100	10	7	1	63	15
1	100	10	7	1	64	16
1	100	10	7	1	63	17
1	100	10	7	1	64	18
1	100	10	7	1	63	19
1	100	10	7	1	60	20
1	100	10	7	1	64	21
1	100	10	7	1	62	22
1	100	10	7	1	62	23
1	100	10	7	1	64	24
1	100	10	7	1	63	25
1	100	10	7	1	62	26
1	100	10	7	1	62	27
1	100	10	7	1	65	28
1	100	10	7	1	63	29
1	100	10	7	1	63	30
1	100	10	7	1	66	31
1	100	10	7	1	63	32
1	100	10	7	1	63	33
1	100	10	7	1	66	34
1	100	10	7	1	65	35
1	100	10	7	1	62	36
1	100	10	7	1	63	37
1	100	10	7	1	62	38
1	100	10	7	1	63	39
1	100	10	7	1	64	40
1	100	10	7	1	62	41
1	100	10	7	1	63	42
1	100	10	7	1	64	43
1	100	10	7	1	64	44
1	100	10	7	1	61	45
1	100	10	7	1	62	46
1	100	10	7	1	63	47
1	100	10	7	1	64	48
1	100	10	7	1	64	49
1	100	10	7	1	64	50
1	100	10	7	1	62	51
1	100	10	7	1	64	52
1	100	10	7	1	63	53
1	100	10	7	1	65	54
1	100	10	7	1	62	55
1	100	10	7	1	65	56
1	100	10	7	1	63	57
1	100	10	7	1	65	58
1	100	10	7	1	64	59
1	100	10	7	1	64	60
1	100	10	7	1	65	61
1	100	10	7	1	64	62
1	100	10	7	1	64	63
1	100	10	7	1	65	64
1	100	10	7	1	62	65
1	100	10	7	1	63	66
1	100	10	7	1	66	67
1	100	10	7	1	63	68
1	100	10	7	1	65	69
1	100	10	7	1	62	70
1	100	10	7	1	63	71
1	100	10	7	1	66	72
1	100	10	7	1	64	73
1	100	10	7	1	65	74
1	100	10	7	1	60	75
1	100	10	7	1	63	76
1	100	10	7	1	63	77
1	100	10	7	1	63	78
1	100	10	7	1	64	79
1	100	10	7	1	64	80
1	100	10	7	1	64	81
1	100	10	7	1	62	82
1	100	10	7	1	64	83
1	100	10	7	1	64	84
1	100	10	7	1	64	85
1	100	10	7	1	63	86
1	100	10	7	1	64	87
1	100	10	7	1	64	88
1	100	10	7	1	61	89
1	100	10	7	1	61	90
1	100	10	7	1	64	91
1	100	10	7	1	64	92
1	100	10	7	1	63	93
1	100	10	7	1	63	94
1	100	10	7	1	65	95
1	100	10	7	1	64	96
1	100	10	7	1	63	97
1	100	10	7	1	65	98
1	100	10	7	1	63	99
1	100	10	7	1	65	100
1	100	10	7	2	58	1
1	100	10	7	2	60	2
1	100	10	7	2	63	3
1	100	10	7	2	63	4
1	100	10	7	2	61	5
1	100	10	7	2	63	6
1	100	10	7	2	65	7
1	100	10	7	2	61	8
1	100	10	7	2	62	9
1	100	10	7	2	63	10
1	100	10	7	2	60	11
1	100	10	7	2	60	12
1	100	10	7	2	62	13
1	100	10	7	2	64	14
1	100	10	7	2	60	15
1	100	10	7	2	60	16
1	100	10	7	2	60	17
1	100	10	7	2	63	18
1	100	10	7	2	62	19
1	100	10	7	2	65	20
1	100	10	7	2	61	21
1	100	10	7	2	62	22
1	100	10	7	2	61	23
1	100	10	7	2	64	24
1	100	10	7	2	67	25
1	100	10	7	2	60	26
1	100	10	7	2	61	27
1	100	10	7	2	63	28
1	100	10	7	2	64	29
1	100	10	7	2	67	30
1	100	10	7	2	64	31
1	100	10	7	2	64	32
1	100	10	7	2	65	33
1	100	10	7	2	63	34
1	100	10	7	2	67	35
1	100	10	7	2	61	36
1	100	10	7	2	65	37
1	100	10	7	2	65	38
1	100	10	7	2	63	39
1	100	10	7	2	61	40
1	100	10	7	2	62	41
1	100	10	7	2	61	42
1	100	10	7	2	63	43
1	100	10	7	2	61	44
1	100	10	7	2	61	45
1	100	10	7	2	61	46
1	100	10	7	2	63	47
1	100	10	7	2	60	48
1	100	10	7	2	64	49
1	100	10	7	2	63	50
1	100	10	7	2	58	51
1	100	10	7	2	63	52
1	100	10	7	2	61	53
1	100	10	7	2	64	54
1	100	10	7	2	62	55
1	100	10	7	2	64	56
1	100	10	7	2	63	57
1	100	10	7	2	61	58
1	100	10	7	2	61	59
1	100	10	7	2	64	60
1	100	10	7	2	60	61
1	100	10	7	2	63	62
1	100	10	7	2	61	63
1	100	10	7	2	66	64
1	100	10	7	2	62	65
1	100	10	7	2	63	66
1	100	10	7	2	60	67
1	100	10	7	2	62	68
1	100	10	7	2	62	69
1	100	10	7	2	63	70
1	100	10	7	2	64	71
1	100	10	7	2	65	72
1	100	10	7	2	65	73
1	100	10	7	2	66	74
1	100	10	7	2	62	75
1	100	10	7	2	60	76
1	100	10	7	2	64	77
1	100	10	7	2	60	78
1	100	10	7	2	62	79
1	100	10	7	2	63	80
1	100	10	7	2	63	81
1	100	10	7	2	63	82
1	100	10	7	2	64	83
1	100	10	7	2	63	84
1	100	10	7	2	65	85
1	100	10	7	2	61	86
1	100	10	7	2	66	87
1	100	10	7	2	61	88
1	100	10	7	2	61	89
1	100	10	7	2	62	90
1	100	10	7	2	66	91
1	100	10	7	2	61	92
1	100	10	7	2	62	93
1	100	10	7	2	63	94
1	100	10	7	2	64	95
1	100	10	7	2	59	96
1	100	10	7	2	63	97
1	100	10	7	2	64	98
1	100	10	7	2	62	99
1	100	10	7	2	57	100
1	100	10	14	1	64	1
1	100	10	14	1	63	2
1	100	10	14	1	65	3
1	100	10	14	1	62	4
1	100	10	14	1	64	5
1	100	10	14	1	61	6
1	100	10	14	1	58	7
1	100	10	14	1	63	8
1	100	10	14	1	62	9
1	100	10	14	1	62	10
1	100	10	14	1	61	11
1	100	10	14	1	63	12
1	100	10	14	1	63	13
1	100	10	14	1	63	14
1	100	10	14	1	62	15
1	100	10	14	1	61	16
1	100	10	14	1	59	17
1	100	10	14	1	63	18
1	100	10	14	1	62	19
1	100	10	14	1	63	20
1	100	10	14	1	63	21
1	100	10	14	1	64	22
1	100	10	14	1	63	23
1	100	10	14	1	65	24
1	100	10	14	1	64	25
