Nome_arquivo	Temperatura_inicial	SAMAX	Qtd_Reaquecimentos	Metodo_Vizinho	Função_Objetivo	Iteração
1	100	10	7	1	64	1
1	100	10	7	1	65	2
1	100	10	7	1	68	3
1	100	10	7	1	65	4
1	100	10	7	1	66	5
1	100	10	7	1	67	6
1	100	10	7	1	66	7
1	100	10	7	1	65	8
1	100	10	7	1	67	9
1	100	10	7	1	65	10
1	100	10	7	1	65	11
1	100	10	7	1	66	12
1	100	10	7	1	65	13
1	100	10	7	1	67	14
1	100	10	7	1	66	15
1	100	10	7	1	67	16
1	100	10	7	1	66	17
1	100	10	7	1	65	18
1	100	10	7	1	67	19
1	100	10	7	1	65	20
1	100	10	7	1	66	21
1	100	10	7	1	66	22
1	100	10	7	1	66	23
1	100	10	7	1	67	24
1	100	10	7	1	64	25
1	100	10	7	1	63	26
1	100	10	7	1	65	27
1	100	10	7	1	65	28
1	100	10	7	1	68	29
1	100	10	7	1	66	30
1	100	10	7	1	65	31
1	100	10	7	1	66	32
1	100	10	7	1	65	33
1	100	10	7	1	65	34
1	100	10	7	1	64	35
1	100	10	7	1	65	36
1	100	10	7	1	66	37
1	100	10	7	1	66	38
1	100	10	7	1	65	39
1	100	10	7	1	66	40
1	100	10	7	1	65	41
1	100	10	7	1	67	42
1	100	10	7	1	66	43
1	100	10	7	1	65	44
1	100	10	7	1	67	45
1	100	10	7	1	65	46
1	100	10	7	1	67	47
1	100	10	7	1	65	48
1	100	10	7	1	66	49
1	100	10	7	1	65	50
1	100	10	7	1	65	51
1	100	10	7	1	65	52
1	100	10	7	1	65	53
1	100	10	7	1	65	54
1	100	10	7	1	65	55
1	100	10	7	1	65	56
1	100	10	7	1	66	57
1	100	10	7	1	65	58
1	100	10	7	1	68	59
1	100	10	7	1	66	60
1	100	10	7	1	68	61
1	100	10	7	1	66	62
1	100	10	7	1	66	63
1	100	10	7	1	66	64
1	100	10	7	1	65	65
1	100	10	7	1	66	66
1	100	10	7	1	66	67
1	100	10	7	1	67	68
1	100	10	7	1	67	69
1	100	10	7	1	66	70
1	100	10	7	1	66	71
1	100	10	7	1	64	72
1	100	10	7	1	67	73
1	100	10	7	1	66	74
1	100	10	7	1	66	75
1	100	10	7	1	64	76
1	100	10	7	1	65	77
1	100	10	7	1	66	78
1	100	10	7	1	65	79
1	100	10	7	1	68	80
1	100	10	7	1	67	81
1	100	10	7	1	67	82
1	100	10	7	1	66	83
1	100	10	7	1	67	84
1	100	10	7	1	63	85
1	100	10	7	1	67	86
1	100	10	7	1	66	87
1	100	10	7	1	67	88
1	100	10	7	1	66	89
1	100	10	7	1	66	90
1	100	10	7	1	66	91
1	100	10	7	1	68	92
1	100	10	7	1	66	93
1	100	10	7	1	65	94
1	100	10	7	1	64	95
1	100	10	7	1	66	96
1	100	10	7	1	65	97
1	100	10	7	1	67	98
1	100	10	7	1	63	99
1	100	10	7	1	65	100
1	100	10	7	2	66	1
1	100	10	7	2	67	2
1	100	10	7	2	67	3
1	100	10	7	2	66	4
1	100	10	7	2	64	5
1	100	10	7	2	64	6
1	100	10	7	2	65	7
1	100	10	7	2	61	8
1	100	10	7	2	64	9
1	100	10	7	2	65	10
1	100	10	7	2	65	11
1	100	10	7	2	66	12
1	100	10	7	2	63	13
1	100	10	7	2	65	14
1	100	10	7	2	65	15
1	100	10	7	2	66	16
1	100	10	7	2	66	17
1	100	10	7	2	66	18
1	100	10	7	2	66	19
1	100	10	7	2	65	20
1	100	10	7	2	68	21
1	100	10	7	2	66	22
1	100	10	7	2	68	23
1	100	10	7	2	67	24
1	100	10	7	2	64	25
1	100	10	7	2	67	26
1	100	10	7	2	67	27
1	100	10	7	2	65	28
1	100	10	7	2	64	29
1	100	10	7	2	66	30
1	100	10	7	2	64	31
1	100	10	7	2	66	32
1	100	10	7	2	64	33
1	100	10	7	2	62	34
1	100	10	7	2	64	35
1	100	10	7	2	67	36
1	100	10	7	2	65	37
1	100	10	7	2	65	38
1	100	10	7	2	65	39
1	100	10	7	2	66	40
1	100	10	7	2	65	41
1	100	10	7	2	64	42
1	100	10	7	2	65	43
1	100	10	7	2	66	44
1	100	10	7	2	64	45
1	100	10	7	2	67	46
1	100	10	7	2	65	47
1	100	10	7	2	67	48
1	100	10	7	2	65	49
1	100	10	7	2	63	50
1	100	10	7	2	65	51
1	100	10	7	2	64	52
1	100	10	7	2	67	53
1	100	10	7	2	65	54
1	100	10	7	2	66	55
1	100	10	7	2	64	56
1	100	10	7	2	70	57
1	100	10	7	2	65	58
1	100	10	7	2	66	59
1	100	10	7	2	65	60
1	100	10	7	2	66	61
1	100	10	7	2	63	62
1	100	10	7	2	66	63
1	100	10	7	2	67	64
1	100	10	7	2	65	65
1	100	10	7	2	65	66
1	100	10	7	2	65	67
1	100	10	7	2	66	68
1	100	10	7	2	64	69
1	100	10	7	2	63	70
1	100	10	7	2	64	71
1	100	10	7	2	67	72
1	100	10	7	2	63	73
1	100	10	7	2	65	74
1	100	10	7	2	63	75
1	100	10	7	2	67	76
1	100	10	7	2	66	77
1	100	10	7	2	63	78
1	100	10	7	2	63	79
1	100	10	7	2	64	80
1	100	10	7	2	66	81
1	100	10	7	2	65	82
1	100	10	7	2	64	83
1	100	10	7	2	66	84
1	100	10	7	2	63	85
1	100	10	7	2	64	86
1	100	10	7	2	66	87
1	100	10	7	2	65	88
